cp7,concelho,distrito
7800-780,,
7830-000,,
7750-104,Mértola,Beja
8005-073,Faro,Faro
8005-321,,
8700-283,,
8005-000,,
8000-136,Faro,Faro
8005-127,,
8000-000,,
8005-072,Faro,Faro
8005-298,,
8000-147,,
8005-308,,
8005-311,,
8005-124,,
8005-315,,
8600-000,,
8600-269,Lagos,Faro
8600-265,Lagos,Faro
8600-647,,
8100-659,,
8135-000,,
8100-000,,
8100-657,,
8125-463,,
8125-032,,
8100-645,,
8125-000,,
8125-810,,
8125-161,Loulé,Faro
8125-155,Loulé,Faro
8700-000,,
8700-045,Olhão,Faro
8700-168,Olhão,Faro
8700-229,Olhão,Faro
8700-244,,
8365-000,Silves,Faro
8300-000,,
8800-436,Tavira,Faro
8800-000,,
8800-465,,
8500-470,,
8500-517,,
8500-803,,
8500-000,,
8500-301,,
8500-447,,
8500-516,,
8500-295,,
8500-482,,
8500-079,,
8500-838,,
8500-779,,
8500-312,,
8500-053,,
8500-713,,
8200-916,,
8200-361,,
8200-238,,
8950-000,,
8400-000,,
8150-000,,
8900-489,,
8900-414,,
8900-000,,
8900-100,,
4820-000,,
4710-174,,
4700-000,,
4700-164,,
